suite,kernel,source_spec,target_spec,source_api,target_api,source_files,target_files,complexity_class
hecbench,fwt,hecbench-fwt-omp,hecbench-fwt-cuda,omp,cuda,2,2,multi_to_multi
hecbench,ga,hecbench-ga-cuda,hecbench-ga-omp,cuda,omp,1,1,single_file
hecbench,ga,hecbench-ga-omp,hecbench-ga-cuda,omp,cuda,1,1,single_file
hecbench,gaussian,hecbench-gaussian-cuda,hecbench-gaussian-omp,cuda,omp,1,1,single_file
hecbench,gaussian,hecbench-gaussian-omp,hecbench-gaussian-cuda,omp,cuda,1,1,single_file
hecbench,geglu,hecbench-geglu-cuda,hecbench-geglu-omp,cuda,omp,1,1,single_file
hecbench,geglu,hecbench-geglu-omp,hecbench-geglu-cuda,omp,cuda,1,1,single_file
hecbench,heat2d,hecbench-heat2d-cuda,hecbench-heat2d-omp,cuda,omp,1,1,single_file
hecbench,heat2d,hecbench-heat2d-cuda,hecbench-heat2d-omp_target,cuda,omp_target,1,1,single_file
hecbench,heat2d,hecbench-heat2d-omp,hecbench-heat2d-cuda,omp,cuda,1,1,single_file
hecbench,heat2d,hecbench-heat2d-omp,hecbench-heat2d-omp_target,omp,omp_target,1,1,single_file
hecbench,heat2d,hecbench-heat2d-omp_target,hecbench-heat2d-cuda,omp_target,cuda,1,1,single_file
hecbench,heat2d,hecbench-heat2d-omp_target,hecbench-heat2d-omp,omp_target,omp,1,1,single_file
hecbench,ising,hecbench-ising-cuda,hecbench-ising-omp,cuda,omp,1,1,single_file
hecbench,ising,hecbench-ising-omp,hecbench-ising-cuda,omp,cuda,1,1,single_file
hecbench,iso2dfd,hecbench-iso2dfd-cuda,hecbench-iso2dfd-omp,cuda,omp,1,1,single_file
hecbench,iso2dfd,hecbench-iso2dfd-cuda,hecbench-iso2dfd-omp_target,cuda,omp_target,1,1,single_file
hecbench,iso2dfd,hecbench-iso2dfd-omp,hecbench-iso2dfd-cuda,omp,cuda,1,1,single_file
hecbench,iso2dfd,hecbench-iso2dfd-omp,hecbench-iso2dfd-omp_target,omp,omp_target,1,1,single_file
hecbench,iso2dfd,hecbench-iso2dfd-omp_target,hecbench-iso2dfd-cuda,omp_target,cuda,1,1,single_file
hecbench,iso2dfd,hecbench-iso2dfd-omp_target,hecbench-iso2dfd-omp,omp_target,omp,1,1,single_file
hecbench,jacobi,hecbench-jacobi-cuda,hecbench-jacobi-omp_target,cuda,omp_target,1,1,single_file
hecbench,jacobi,hecbench-jacobi-omp_target,hecbench-jacobi-cuda,omp_target,cuda,1,1,single_file
hecbench,jenkins-hash,hecbench-jenkins-hash-cuda,hecbench-jenkins-hash-omp,cuda,omp,1,1,single_file
hecbench,jenkins-hash,hecbench-jenkins-hash-omp,hecbench-jenkins-hash-cuda,omp,cuda,1,1,single_file
hecbench,keccaktreehash,hecbench-keccaktreehash-cuda,hecbench-keccaktreehash-omp,cuda,omp,2,2,multi_to_multi
hecbench,keccaktreehash,hecbench-keccaktreehash-omp,hecbench-keccaktreehash-cuda,omp,cuda,2,2,multi_to_multi
hecbench,knn,hecbench-knn-cuda,hecbench-knn-omp,cuda,omp,1,1,single_file
hecbench,knn,hecbench-knn-omp,hecbench-knn-cuda,omp,cuda,1,1,single_file
hecbench,laplace3d,hecbench-laplace3d-cuda,hecbench-laplace3d-omp,cuda,omp,2,2,multi_to_multi
hecbench,laplace3d,hecbench-laplace3d-omp,hecbench-laplace3d-cuda,omp,cuda,2,2,multi_to_multi
hecbench,lud,hecbench-lud-cuda,hecbench-lud-omp,cuda,omp,2,1,multi_to_single
hecbench,lud,hecbench-lud-omp,hecbench-lud-cuda,omp,cuda,1,2,single_to_multi
hecbench,lulesh,hecbench-lulesh-cuda,hecbench-lulesh-omp,cuda,omp,1,2,single_to_multi
hecbench,lulesh,hecbench-lulesh-omp,hecbench-lulesh-cuda,omp,cuda,2,1,multi_to_single
hecbench,mandelbrot,hecbench-mandelbrot-cuda,hecbench-mandelbrot-omp,cuda,omp,2,2,multi_to_multi
hecbench,mandelbrot,hecbench-mandelbrot-omp,hecbench-mandelbrot-cuda,omp,cuda,2,2,multi_to_multi
hecbench,maxpool3d,hecbench-maxpool3d-cuda,hecbench-maxpool3d-omp,cuda,omp,1,1,single_file
hecbench,maxpool3d,hecbench-maxpool3d-omp,hecbench-maxpool3d-cuda,omp,cuda,1,1,single_file
hecbench,md,hecbench-md-cuda,hecbench-md-omp_target,cuda,omp_target,1,1,single_file
hecbench,md,hecbench-md-omp_target,hecbench-md-cuda,omp_target,cuda,1,1,single_file
hecbench,md5hash,hecbench-md5hash-cuda,hecbench-md5hash-omp,cuda,omp,1,1,single_file
hecbench,md5hash,hecbench-md5hash-omp,hecbench-md5hash-cuda,omp,cuda,1,1,single_file
hecbench,merge,hecbench-merge-cuda,hecbench-merge-omp,cuda,omp,2,2,multi_to_multi
hecbench,merge,hecbench-merge-omp,hecbench-merge-cuda,omp,cuda,2,2,multi_to_multi
hecbench,mis,hecbench-mis-cuda,hecbench-mis-omp,cuda,omp,1,1,single_file
hecbench,mis,hecbench-mis-omp,hecbench-mis-cuda,omp,cuda,1,1,single_file
hecbench,murmurhash3,hecbench-murmurhash3-cuda,hecbench-murmurhash3-omp,cuda,omp,1,1,single_file
hecbench,murmurhash3,hecbench-murmurhash3-omp,hecbench-murmurhash3-cuda,omp,cuda,1,1,single_file
hecbench,myocyte,hecbench-myocyte-cuda,hecbench-myocyte-omp,cuda,omp,3,1,multi_to_single
hecbench,myocyte,hecbench-myocyte-omp,hecbench-myocyte-cuda,omp,cuda,1,3,single_to_multi
hecbench,nbody,hecbench-nbody-cuda,hecbench-nbody-omp,cuda,omp,2,2,multi_to_multi
hecbench,nbody,hecbench-nbody-omp,hecbench-nbody-cuda,omp,cuda,2,2,multi_to_multi
hecbench,nn,hecbench-nn-cuda,hecbench-nn-omp,cuda,omp,2,2,multi_to_multi
hecbench,nn,hecbench-nn-omp,hecbench-nn-cuda,omp,cuda,2,2,multi_to_multi
hecbench,nqueen,hecbench-nqueen-cuda,hecbench-nqueen-omp_target,cuda,omp_target,1,1,single_file
hecbench,nqueen,hecbench-nqueen-omp_target,hecbench-nqueen-cuda,omp_target,cuda,1,1,single_file
hecbench,nw,hecbench-nw-cuda,hecbench-nw-omp,cuda,omp,1,1,single_file
hecbench,nw,hecbench-nw-omp,hecbench-nw-cuda,omp,cuda,1,1,single_file
hecbench,page-rank,hecbench-page-rank-cuda,hecbench-page-rank-omp_target,cuda,omp_target,1,1,single_file
hecbench,page-rank,hecbench-page-rank-omp_target,hecbench-page-rank-cuda,omp_target,cuda,1,1,single_file
hecbench,particle-diffusion,hecbench-particle-diffusion-cuda,hecbench-particle-diffusion-omp,cuda,omp,1,1,single_file
hecbench,particle-diffusion,hecbench-particle-diffusion-omp,hecbench-particle-diffusion-cuda,omp,cuda,1,1,single_file
hecbench,pathfinder,hecbench-pathfinder-cuda,hecbench-pathfinder-omp,cuda,omp,1,1,single_file
hecbench,pathfinder,hecbench-pathfinder-omp,hecbench-pathfinder-cuda,omp,cuda,1,1,single_file
hecbench,perplexity,hecbench-perplexity-cuda,hecbench-perplexity-omp,cuda,omp,1,1,single_file
hecbench,perplexity,hecbench-perplexity-omp,hecbench-perplexity-cuda,omp,cuda,1,1,single_file
hecbench,popcount,hecbench-popcount-cuda,hecbench-popcount-omp,cuda,omp,1,1,single_file
hecbench,popcount,hecbench-popcount-omp,hecbench-popcount-cuda,omp,cuda,1,1,single_file
hecbench,pso,hecbench-pso-cuda,hecbench-pso-omp,cuda,omp,1,1,single_file
hecbench,pso,hecbench-pso-omp,hecbench-pso-cuda,omp,cuda,1,1,single_file
hecbench,radixsort,hecbench-radixsort-cuda,hecbench-radixsort-omp,cuda,omp,5,5,multi_to_multi
hecbench,radixsort,hecbench-radixsort-omp,hecbench-radixsort-cuda,omp,cuda,5,5,multi_to_multi
hecbench,rmsnorm,hecbench-rmsnorm-cuda,hecbench-rmsnorm-omp,cuda,omp,2,2,multi_to_multi
hecbench,rmsnorm,hecbench-rmsnorm-omp,hecbench-rmsnorm-cuda,omp,cuda,2,2,multi_to_multi
hecbench,scan,hecbench-scan-cuda,hecbench-scan-omp,cuda,omp,1,1,single_file
hecbench,scan,hecbench-scan-cuda,hecbench-scan-omp_target,cuda,omp_target,1,1,single_file
hecbench,scan,hecbench-scan-omp,hecbench-scan-cuda,omp,cuda,1,1,single_file
hecbench,scan,hecbench-scan-omp,hecbench-scan-omp_target,omp,omp_target,1,1,single_file
hecbench,scan,hecbench-scan-omp_target,hecbench-scan-cuda,omp_target,cuda,1,1,single_file
hecbench,scan,hecbench-scan-omp_target,hecbench-scan-omp,omp_target,omp,1,1,single_file
hecbench,secp256k1,hecbench-secp256k1-cuda,hecbench-secp256k1-omp,cuda,omp,1,1,single_file
hecbench,secp256k1,hecbench-secp256k1-omp,hecbench-secp256k1-cuda,omp,cuda,1,1,single_file
hecbench,simplespmv,hecbench-simplespmv-cuda,hecbench-simplespmv-omp,cuda,omp,2,1,multi_to_single
hecbench,simplespmv,hecbench-simplespmv-omp,hecbench-simplespmv-cuda,omp,cuda,1,2,single_to_multi
hecbench,sobel,hecbench-sobel-cuda,hecbench-sobel-omp,cuda,omp,2,2,multi_to_multi
hecbench,sobel,hecbench-sobel-omp,hecbench-sobel-cuda,omp,cuda,2,2,multi_to_multi
hecbench,sobol,hecbench-sobol-cuda,hecbench-sobol-omp,cuda,omp,2,2,multi_to_multi
hecbench,sobol,hecbench-sobol-omp,hecbench-sobol-cuda,omp,cuda,2,2,multi_to_multi
hecbench,softmax-online,hecbench-softmax-online-cuda,hecbench-softmax-online-omp,cuda,omp,2,2,multi_to_multi
hecbench,softmax-online,hecbench-softmax-online-omp,hecbench-softmax-online-cuda,omp,cuda,2,2,multi_to_multi
hecbench,stencil1d,hecbench-stencil1d-cuda,hecbench-stencil1d-omp,cuda,omp,1,1,single_file
hecbench,stencil1d,hecbench-stencil1d-cuda,hecbench-stencil1d-omp_target,cuda,omp_target,1,1,single_file
hecbench,stencil1d,hecbench-stencil1d-omp,hecbench-stencil1d-cuda,omp,cuda,1,1,single_file
hecbench,stencil1d,hecbench-stencil1d-omp,hecbench-stencil1d-omp_target,omp,omp_target,1,1,single_file
hecbench,stencil1d,hecbench-stencil1d-omp_target,hecbench-stencil1d-cuda,omp_target,cuda,1,1,single_file
hecbench,stencil1d,hecbench-stencil1d-omp_target,hecbench-stencil1d-omp,omp_target,omp,1,1,single_file
hecbench,thomas,hecbench-thomas-cuda,hecbench-thomas-omp,cuda,omp,3,2,multi_to_multi
hecbench,thomas,hecbench-thomas-omp,hecbench-thomas-cuda,omp,cuda,2,3,multi_to_multi
hecbench,tissue,hecbench-tissue-cuda,hecbench-tissue-omp,cuda,omp,1,1,single_file
hecbench,tissue,hecbench-tissue-omp,hecbench-tissue-cuda,omp,cuda,1,1,single_file
hecbench,triad,hecbench-triad-cuda,hecbench-triad-omp,cuda,omp,2,2,multi_to_multi
hecbench,triad,hecbench-triad-omp,hecbench-triad-cuda,omp,cuda,2,2,multi_to_multi
hecbench,tsp,hecbench-tsp-cuda,hecbench-tsp-omp,cuda,omp,1,1,single_file
hecbench,tsp,hecbench-tsp-omp,hecbench-tsp-cuda,omp,cuda,1,1,single_file
mixbench,mixbench,mixbench-mixbench-cuda,mixbench-mixbench-omp,cuda,omp,1,1,single_file
mixbench,mixbench,mixbench-mixbench-cuda,mixbench-mixbench-opencl,cuda,opencl,1,1,single_file
mixbench,mixbench,mixbench-mixbench-omp,mixbench-mixbench-cuda,omp,cuda,1,1,single_file
mixbench,mixbench,mixbench-mixbench-omp,mixbench-mixbench-opencl,omp,opencl,1,1,single_file
mixbench,mixbench,mixbench-mixbench-opencl,mixbench-mixbench-cuda,opencl,cuda,1,1,single_file
mixbench,mixbench,mixbench-mixbench-opencl,mixbench-mixbench-omp,opencl,omp,1,1,single_file
rodinia,backprop,rodinia-backprop-cuda,rodinia-backprop-omp,cuda,omp,2,1,multi_to_single
rodinia,backprop,rodinia-backprop-cuda,rodinia-backprop-opencl,cuda,opencl,2,1,multi_to_single
rodinia,backprop,rodinia-backprop-omp,rodinia-backprop-cuda,omp,cuda,1,2,single_to_multi
rodinia,backprop,rodinia-backprop-omp,rodinia-backprop-opencl,omp,opencl,1,1,single_file
rodinia,backprop,rodinia-backprop-opencl,rodinia-backprop-cuda,opencl,cuda,1,2,single_to_multi
rodinia,backprop,rodinia-backprop-opencl,rodinia-backprop-omp,opencl,omp,1,1,single_file
rodinia,bfs,rodinia-bfs-cuda,rodinia-bfs-omp,cuda,omp,3,1,multi_to_single
rodinia,bfs,rodinia-bfs-cuda,rodinia-bfs-opencl,cuda,opencl,3,1,multi_to_single
rodinia,bfs,rodinia-bfs-omp,rodinia-bfs-cuda,omp,cuda,1,3,single_to_multi
rodinia,bfs,rodinia-bfs-omp,rodinia-bfs-opencl,omp,opencl,1,1,single_file
rodinia,bfs,rodinia-bfs-opencl,rodinia-bfs-cuda,opencl,cuda,1,3,single_to_multi
rodinia,bfs,rodinia-bfs-opencl,rodinia-bfs-omp,opencl,omp,1,1,single_file
rodinia,bptree,rodinia-bptree-cuda,rodinia-bptree-omp,cuda,omp,4,2,multi_to_multi
rodinia,bptree,rodinia-bptree-cuda,rodinia-bptree-opencl,cuda,opencl,4,2,multi_to_multi
rodinia,bptree,rodinia-bptree-omp,rodinia-bptree-cuda,omp,cuda,2,4,multi_to_multi
rodinia,bptree,rodinia-bptree-omp,rodinia-bptree-opencl,omp,opencl,2,2,multi_to_multi
rodinia,bptree,rodinia-bptree-opencl,rodinia-bptree-cuda,opencl,cuda,2,4,multi_to_multi
rodinia,bptree,rodinia-bptree-opencl,rodinia-bptree-omp,opencl,omp,2,2,multi_to_multi
rodinia,cfd,rodinia-cfd-cuda,rodinia-cfd-omp,cuda,omp,1,1,single_file
rodinia,cfd,rodinia-cfd-cuda,rodinia-cfd-opencl,cuda,opencl,1,1,single_file
rodinia,cfd,rodinia-cfd-omp,rodinia-cfd-cuda,omp,cuda,1,1,single_file
rodinia,cfd,rodinia-cfd-omp,rodinia-cfd-opencl,omp,opencl,1,1,single_file
rodinia,cfd,rodinia-cfd-opencl,rodinia-cfd-cuda,opencl,cuda,1,1,single_file
rodinia,cfd,rodinia-cfd-opencl,rodinia-cfd-omp,opencl,omp,1,1,single_file
rodinia,dwt2d,rodinia-dwt2d-cuda,rodinia-dwt2d-opencl,cuda,opencl,7,1,multi_to_single
rodinia,dwt2d,rodinia-dwt2d-opencl,rodinia-dwt2d-cuda,opencl,cuda,1,7,single_to_multi
rodinia,gaussian,rodinia-gaussian-cuda,rodinia-gaussian-opencl,cuda,opencl,1,1,single_file
rodinia,gaussian,rodinia-gaussian-opencl,rodinia-gaussian-cuda,opencl,cuda,1,1,single_file
rodinia,heartwall,rodinia-heartwall-cuda,rodinia-heartwall-omp,cuda,omp,2,1,multi_to_single
rodinia,heartwall,rodinia-heartwall-cuda,rodinia-heartwall-opencl,cuda,opencl,2,1,multi_to_single
rodinia,heartwall,rodinia-heartwall-omp,rodinia-heartwall-cuda,omp,cuda,1,2,single_to_multi
rodinia,heartwall,rodinia-heartwall-omp,rodinia-heartwall-opencl,omp,opencl,1,1,single_file
rodinia,heartwall,rodinia-heartwall-opencl,rodinia-heartwall-cuda,opencl,cuda,1,2,single_to_multi
rodinia,heartwall,rodinia-heartwall-opencl,rodinia-heartwall-omp,opencl,omp,1,1,single_file
rodinia,hotspot,rodinia-hotspot-cuda,rodinia-hotspot-omp,cuda,omp,1,1,single_file
rodinia,hotspot,rodinia-hotspot-cuda,rodinia-hotspot-opencl,cuda,opencl,1,1,single_file
rodinia,hotspot,rodinia-hotspot-omp,rodinia-hotspot-cuda,omp,cuda,1,1,single_file
rodinia,hotspot,rodinia-hotspot-omp,rodinia-hotspot-opencl,omp,opencl,1,1,single_file
rodinia,hotspot,rodinia-hotspot-opencl,rodinia-hotspot-cuda,opencl,cuda,1,1,single_file
rodinia,hotspot,rodinia-hotspot-opencl,rodinia-hotspot-omp,opencl,omp,1,1,single_file
rodinia,hotspot3d,rodinia-hotspot3d-cuda,rodinia-hotspot3d-omp,cuda,omp,2,1,multi_to_single
rodinia,hotspot3d,rodinia-hotspot3d-cuda,rodinia-hotspot3d-opencl,cuda,opencl,2,1,multi_to_single
rodinia,hotspot3d,rodinia-hotspot3d-omp,rodinia-hotspot3d-cuda,omp,cuda,1,2,single_to_multi
rodinia,hotspot3d,rodinia-hotspot3d-omp,rodinia-hotspot3d-opencl,omp,opencl,1,1,single_file
rodinia,hotspot3d,rodinia-hotspot3d-opencl,rodinia-hotspot3d-cuda,opencl,cuda,1,2,single_to_multi
rodinia,hotspot3d,rodinia-hotspot3d-opencl,rodinia-hotspot3d-omp,opencl,omp,1,1,single_file
rodinia,hybridsort,rodinia-hybridsort-cuda,rodinia-hybridsort-opencl,cuda,opencl,6,3,multi_to_multi
rodinia,hybridsort,rodinia-hybridsort-opencl,rodinia-hybridsort-cuda,opencl,cuda,3,6,multi_to_multi
rodinia,kmeans,rodinia-kmeans-cuda,rodinia-kmeans-omp,cuda,omp,2,1,multi_to_single
rodinia,kmeans,rodinia-kmeans-cuda,rodinia-kmeans-opencl,cuda,opencl,2,1,multi_to_single
rodinia,kmeans,rodinia-kmeans-omp,rodinia-kmeans-cuda,omp,cuda,1,2,single_to_multi
rodinia,kmeans,rodinia-kmeans-omp,rodinia-kmeans-opencl,omp,opencl,1,1,single_file
rodinia,kmeans,rodinia-kmeans-opencl,rodinia-kmeans-cuda,opencl,cuda,1,2,single_to_multi
rodinia,kmeans,rodinia-kmeans-opencl,rodinia-kmeans-omp,opencl,omp,1,1,single_file
rodinia,lavamd,rodinia-lavamd-cuda,rodinia-lavamd-omp,cuda,omp,2,1,multi_to_single
rodinia,lavamd,rodinia-lavamd-cuda,rodinia-lavamd-opencl,cuda,opencl,2,1,multi_to_single
rodinia,lavamd,rodinia-lavamd-omp,rodinia-lavamd-cuda,omp,cuda,1,2,single_to_multi
rodinia,lavamd,rodinia-lavamd-omp,rodinia-lavamd-opencl,omp,opencl,1,1,single_file
rodinia,lavamd,rodinia-lavamd-opencl,rodinia-lavamd-cuda,opencl,cuda,1,2,single_to_multi
rodinia,lavamd,rodinia-lavamd-opencl,rodinia-lavamd-omp,opencl,omp,1,1,single_file
rodinia,lud,rodinia-lud-cuda,rodinia-lud-omp,cuda,omp,2,1,multi_to_single
rodinia,lud,rodinia-lud-cuda,rodinia-lud-opencl,cuda,opencl,2,1,multi_to_single
rodinia,lud,rodinia-lud-omp,rodinia-lud-cuda,omp,cuda,1,2,single_to_multi
rodinia,lud,rodinia-lud-omp,rodinia-lud-opencl,omp,opencl,1,1,single_file
rodinia,lud,rodinia-lud-opencl,rodinia-lud-cuda,opencl,cuda,1,2,single_to_multi
rodinia,lud,rodinia-lud-opencl,rodinia-lud-omp,opencl,omp,1,1,single_file
rodinia,mummergpu,rodinia-mummergpu-cuda,rodinia-mummergpu-omp,cuda,omp,2,1,multi_to_single
rodinia,mummergpu,rodinia-mummergpu-omp,rodinia-mummergpu-cuda,omp,cuda,1,2,single_to_multi
rodinia,myocyte,rodinia-myocyte-cuda,rodinia-myocyte-omp,cuda,omp,2,2,multi_to_multi
rodinia,myocyte,rodinia-myocyte-cuda,rodinia-myocyte-opencl,cuda,opencl,2,1,multi_to_single
rodinia,myocyte,rodinia-myocyte-omp,rodinia-myocyte-cuda,omp,cuda,2,2,multi_to_multi
rodinia,myocyte,rodinia-myocyte-omp,rodinia-myocyte-opencl,omp,opencl,2,1,multi_to_single
rodinia,myocyte,rodinia-myocyte-opencl,rodinia-myocyte-cuda,opencl,cuda,1,2,single_to_multi
rodinia,myocyte,rodinia-myocyte-opencl,rodinia-myocyte-omp,opencl,omp,1,2,single_to_multi
rodinia,nn,rodinia-nn-cuda,rodinia-nn-omp,cuda,omp,1,1,single_file
rodinia,nn,rodinia-nn-cuda,rodinia-nn-opencl,cuda,opencl,1,1,single_file
rodinia,nn,rodinia-nn-omp,rodinia-nn-cuda,omp,cuda,1,1,single_file
rodinia,nn,rodinia-nn-omp,rodinia-nn-opencl,omp,opencl,1,1,single_file
rodinia,nn,rodinia-nn-opencl,rodinia-nn-cuda,opencl,cuda,1,1,single_file
rodinia,nn,rodinia-nn-opencl,rodinia-nn-omp,opencl,omp,1,1,single_file
rodinia,nw,rodinia-nw-cuda,rodinia-nw-omp,cuda,omp,2,1,multi_to_single
rodinia,nw,rodinia-nw-cuda,rodinia-nw-opencl,cuda,opencl,2,1,multi_to_single
rodinia,nw,rodinia-nw-omp,rodinia-nw-cuda,omp,cuda,1,2,single_to_multi
rodinia,nw,rodinia-nw-omp,rodinia-nw-opencl,omp,opencl,1,1,single_file
rodinia,nw,rodinia-nw-opencl,rodinia-nw-cuda,opencl,cuda,1,2,single_to_multi
rodinia,nw,rodinia-nw-opencl,rodinia-nw-omp,opencl,omp,1,1,single_file
rodinia,particlefilter,rodinia-particlefilter-cuda,rodinia-particlefilter-omp,cuda,omp,1,1,single_file
rodinia,particlefilter,rodinia-particlefilter-cuda,rodinia-particlefilter-opencl,cuda,opencl,1,3,single_to_multi
rodinia,particlefilter,rodinia-particlefilter-omp,rodinia-particlefilter-cuda,omp,cuda,1,1,single_file
rodinia,particlefilter,rodinia-particlefilter-omp,rodinia-particlefilter-opencl,omp,opencl,1,3,single_to_multi
rodinia,particlefilter,rodinia-particlefilter-opencl,rodinia-particlefilter-cuda,opencl,cuda,3,1,multi_to_single
rodinia,particlefilter,rodinia-particlefilter-opencl,rodinia-particlefilter-omp,opencl,omp,3,1,multi_to_single
rodinia,pathfinder,rodinia-pathfinder-cuda,rodinia-pathfinder-omp,cuda,omp,1,1,single_file
rodinia,pathfinder,rodinia-pathfinder-cuda,rodinia-pathfinder-opencl,cuda,opencl,1,1,single_file
rodinia,pathfinder,rodinia-pathfinder-omp,rodinia-pathfinder-cuda,omp,cuda,1,1,single_file
rodinia,pathfinder,rodinia-pathfinder-omp,rodinia-pathfinder-opencl,omp,opencl,1,1,single_file
rodinia,pathfinder,rodinia-pathfinder-opencl,rodinia-pathfinder-cuda,opencl,cuda,1,1,single_file
rodinia,pathfinder,rodinia-pathfinder-opencl,rodinia-pathfinder-omp,opencl,omp,1,1,single_file
rodinia,srad,rodinia-srad-cuda,rodinia-srad-omp,cuda,omp,2,1,multi_to_single
rodinia,srad,rodinia-srad-cuda,rodinia-srad-opencl,cuda,opencl,2,1,multi_to_single
rodinia,srad,rodinia-srad-omp,rodinia-srad-cuda,omp,cuda,1,2,single_to_multi
