kernel,apis,all_4_apis,cuda_source_files,has_makefile,has_self_check
memtest,"cuda,hip,omp,sycl",True,2,True,True
metropolis,"cuda,hip,omp,sycl",True,9,True,True
michalewicz,"cuda,hip,omp,sycl",True,1,True,True
miniWeather,"cuda,hip,omp,sycl",True,3,True,True
minibude,"cuda,hip,omp,sycl",True,3,True,True
minisweep,"cuda,hip,omp,sycl",True,4,True,True
minkowski,"cuda,hip,omp,sycl",True,2,True,True
mis,"cuda,hip,omp,sycl",True,2,True,True
mixbench,"cuda,hip,omp,sycl",True,1,True,True
morphology,"cuda,hip,omp,sycl",True,3,True,True
mr,"cuda,hip,omp,sycl",True,7,True,True
mrc,"cuda,hip,omp,sycl",True,2,True,True
mriQ,"cuda,hip,omp,sycl",True,3,True,True
mt,"cuda,hip,omp,sycl",True,5,True,True
multimaterial,"cuda,hip,omp,sycl",True,3,True,True
murmurhash3,"cuda,hip,omp,sycl",True,1,True,True
myocyte,"cuda,hip,omp,sycl",True,11,True,True
nlll,"cuda,hip,omp,sycl",True,2,True,True
nms,"cuda,hip,omp,sycl",True,1,True,True
norm2,"cuda,hip,omp,sycl",True,1,True,True
nqueen,"cuda,hip,omp,sycl",True,1,True,True
nw,"cuda,hip,omp,sycl",True,2,True,True
openmp,"cuda,hip,omp,sycl",True,1,True,True
overlay,"cuda,hip,omp,sycl",True,2,True,True
p4,"cuda,hip,omp,sycl",True,3,True,True
page-rank,"cuda,hip,omp,sycl",True,2,True,True
particlefilter,"cuda,hip,omp,sycl",True,5,True,True
particles,"cuda,hip,omp,sycl",True,6,True,True
pathfinder,"cuda,hip,omp,sycl",True,1,True,True
permutate,"cuda,hip,omp,sycl",True,6,True,True
perplexity,"cuda,hip,omp,sycl",True,2,True,True
pnpoly,"cuda,hip,omp,sycl",True,2,True,True
pns,"cuda,hip,omp,sycl",True,5,True,True
pointwise,"cuda,hip,omp,sycl",True,1,True,True
pool,"cuda,hip,omp,sycl",True,2,True,True
popcount,"cuda,hip,omp,sycl",True,1,True,True
present,"cuda,hip,omp,sycl",True,1,True,True
prna,"cuda,hip,omp,sycl",True,11,True,True
projectile,"cuda,hip,omp,sycl",True,3,True,True
pso,"cuda,hip,omp,sycl",True,4,True,True
qrg,"cuda,hip,omp,sycl",True,3,True,True
quantBnB,"cuda,hip,omp,sycl",True,5,True,True
quicksort,"cuda,hip,omp,sycl",True,2,True,True
rainflow,"cuda,hip,omp,sycl",True,2,True,True
randomAccess,"cuda,hip,omp,sycl",True,1,True,True
recursiveGaussian,"cuda,hip,omp,sycl",True,4,True,True
reverse,"cuda,hip,omp,sycl",True,1,True,True
rfs,"cuda,hip,omp,sycl",True,1,True,True
rmsnorm,"cuda,hip,omp,sycl",True,3,True,True
rng-wallace,"cuda,hip,omp,sycl",True,5,True,True
romberg,"cuda,hip,omp,sycl",True,2,True,True
rsbench,"cuda,hip,omp,sycl",True,7,True,True
rsc,"cuda,hip,omp,sycl",True,4,True,True
rtm8,"cuda,hip,omp,sycl",True,2,True,True
rushlarsen,"cuda,hip,omp,sycl",True,5,True,True
s8n,"cuda,hip,omp,sycl",True,2,True,True
sad,"cuda,hip,omp,sycl",True,1,True,True
sampling,"cuda,hip,omp,sycl",True,2,True,True
scan2,"cuda,hip,omp,sycl",True,2,True,True
scatterAdd,"cuda,hip,omp,sycl",True,2,True,True
scel,"cuda,hip,omp,sycl",True,2,True,True
secp256k1,"cuda,hip,omp,sycl",True,1,True,True
sheath,"cuda,hip,omp,sycl",True,1,True,True
shmembench,"cuda,hip,omp,sycl",True,3,True,True
simpleSpmv,"cuda,hip,omp,sycl",True,4,True,True
simplemoc,"cuda,hip,omp,sycl",True,4,True,True
snake,"cuda,hip,omp,sycl",True,3,True,True
sobol,"cuda,hip,omp,sycl",True,8,True,True
softmax,"cuda,hip,omp,sycl",True,1,True,True
softmax-online,"cuda,hip,omp,sycl",True,3,True,True
sort,"cuda,hip,omp,sycl",True,4,True,True
sosfil,"cuda,hip,omp,sycl",True,2,True,True
sph,"cuda,hip,omp,sycl",True,4,True,True
split,"cuda,hip,omp,sycl",True,2,True,True
sptrsv,"cuda,hip,omp,sycl",True,1,True,True
srad,"cuda,hip,omp,sycl",True,12,True,True
ss,"cuda,hip,omp,sycl",True,3,True,True
stddev,"cuda,hip,omp,sycl",True,2,True,True
stencil1d,"cuda,hip,omp,sycl",True,1,True,True
stencil3d,"cuda,hip,omp,sycl",True,1,True,True
storeKVCache,"cuda,hip,omp,sycl",True,2,True,True
streamcluster,"cuda,hip,omp,sycl",True,4,True,True
su3,"cuda,hip,omp,sycl",True,5,True,True
surfel,"cuda,hip,omp,sycl",True,2,True,True
svd3x3,"cuda,hip,omp,sycl",True,2,True,True
sw4ck,"cuda,hip,omp,sycl",True,10,True,True
swish,"cuda,hip,omp,sycl",True,2,True,True
tensorT,"cuda,hip,omp,sycl",True,1,True,True
testSNAP,"cuda,hip,omp,sycl",True,3,True,True
thomas,"cuda,hip,omp,sycl",True,5,True,True
threadcpy,"cuda,hip,omp,sycl",True,1,True,True
threadfence,"cuda,hip,omp,sycl",True,1,True,True
tissue,"cuda,hip,omp,sycl",True,1,True,True
tonemapping,"cuda,hip,omp,sycl",True,2,True,True
tqs,"cuda,hip,omp,sycl",True,4,True,True
triad,"cuda,hip,omp,sycl",True,10,True,True
tsa,"cuda,hip,omp,sycl",True,3,True,True
tsp,"cuda,hip,omp,sycl",True,1,True,True
urng,"cuda,hip,omp,sycl",True,3,True,True
vanGenuchten,"cuda,hip,omp,sycl",True,2,True,True
vmc,"cuda,hip,omp,sycl",True,1,True,True
vol2col,"cuda,hip,omp,sycl",True,2,True,True
wedford,"cuda,hip,omp,sycl",True,2,True,True
winograd,"cuda,hip,omp,sycl",True,3,True,True
wsm5,"cuda,hip,omp,sycl",True,5,True,True
wyllie,"cuda,hip,omp,sycl",True,2,True,True
xlqc,"cuda,hip,omp,sycl",True,8,True,True
xsbench,"cuda,hip,omp,sycl",True,7,True,True
zeropoint,"cuda,hip,omp,sycl",True,2,True,True
